timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Ambient Light-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Pressure-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637330730275,400.8208108206512,,,,
1637330730319,,0.0,,,33.751556396484375
1637330730364,,,98.06611633300781,0.986411026192982,
1637330730410,363.5153109542348,,,,
1637330730454,,,97.88397216796875,,33.73374938964844
1637330730499,,,,0.9866391738902895,
1637330730500,335.0717080572195,,,,
1637330730589,,0.0,,,
1637330730590,,,,,33.73374938964844
1637330730634,,,97.83096313476562,0.9866312677819671,
1637330730679,316.1953882543661,,,,
1637330730724,,,97.65875244140625,,33.69813537597656
1637330730769,,,,0.9864165228206729,
1637330730770,288.0503085911886,,,,
1637330730904,,0.0,,,33.751556396484375
1637330730949,,,97.62561798095703,,
1637330730950,,,,0.9866427881112371,
1637330730994,261.0837389361802,,,,
1637330731038,,,,,33.69813537597656
1637330731039,,,97.47325897216797,,
1637330731084,,,,0.9866237381549932,
1637330731085,232.25030803882208,,,,
1637330731219,,0.0,,,33.73374938964844
1637330731264,,,97.38716125488281,0.9866553625882833,
1637330731310,207.54716234217366,,,,
1637330731354,,,97.34078979492188,,33.7159423828125
1637330731398,,,,0.9866449717030594,
1637330731400,190.69768287737128,,,,
1637330731534,,0.0,,,33.7159423828125
1637330731578,,,97.15862274169922,,
1637330731579,,,,0.9866534048852701,
1637330731624,179.72349953966867,,,,
1637330731669,,,97.05926513671875,,33.751556396484375
1637330731714,,,,0.9866671088063625,
1637330731715,164.9601827409251,,,,
1637330731849,,0.0,,,33.751556396484375
1637330731894,,,96.9168472290039,0.9863909973852316,
1637330731939,140.31179477023517,,,,
1637330731983,,,,,33.751556396484375
1637330731984,,,96.85722351074219,,
1637330732029,,,,0.9867098017913043,
1637330732030,130.24282533287143,,,,
1637330732164,,0.0,,,33.7159423828125
1637330732209,,,96.79098510742188,0.986362083617652,
1637330732254,124.03951753366982,,,,
1637330732299,,,96.75125122070312,,33.751556396484375
1637330732344,,,,0.9866936130933105,
1637330732349,117.9039291489786,,,,
1637330732479,,0.0,,,33.69813537597656
1637330732524,,,96.63200378417969,0.986626674709513,
1637330732569,122.80701137976004,,,,
