timestamp,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer X-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Y-0,bluetooth_le-F1:5F:C5:86:3E:30-Accelerometer Z-0,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0,bluetooth_le-F1:5F:C5:86:3E:30-Temperature-1
1637761302102,,0.34423828125,-9.49951171875,-2.625732421875,,
1637761302147,,,,,,28.302387237548828
1637761302148,,,,,79.66442108154297,
1637761302150,54.58290336470751,,,,,
1637761302192,,0.347900390625,-9.500732421875,-2.62939453125,,28.266769409179688
1637761302238,54.58290336470751,,,,79.6412353515625,
1637761302328,,0.345458984375,-9.501953125,-2.626953125,,28.266769409179688
1637761302329,,,,,79.65447998046875,
1637761302331,54.58290336470751,,,,,
1637761302417,,0.3515625,-9.49951171875,-2.645263671875,,
1637761302418,,,,,,28.266769409179688
1637761302462,,,,,79.6412353515625,
1637761302463,54.58290336470751,,,,,
1637761302553,,0.333251953125,,,,
1637761302554,,,-9.498291015625,-2.628173828125,,
1637761302555,,,,,79.66442108154297,28.302387237548828
1637761302557,54.58290336470751,,,,,
1637761302642,,0.343017578125,-9.501953125,-2.61962890625,,28.302387237548828
1637761302643,,,,,79.6412353515625,
1637761302644,54.58290336470751,,,,,
1637761302779,,0.335693359375,-9.498291015625,-2.628173828125,,28.302387237548828
1637761302780,,,,,79.64786529541016,
1637761302782,54.58290336470751,,,,,
1637761302867,,0.345458984375,-9.4921875,-2.628173828125,,
1637761302912,,,,,,28.28458023071289
1637761302913,,,,,79.65117645263672,
1637761302914,54.58290336470751,,,,,
1637761302957,,0.341796875,-9.50439453125,-2.637939453125,,28.320194244384766
1637761302958,,,,,79.66442108154297,
1637761303003,53.49794028725878,,,,,
1637761303092,,0.343017578125,-9.501953125,-2.626953125,,28.302387237548828
1637761303093,,,,,79.7406005859375,
1637761303094,54.58290336470751,,,,,
1637761303182,,0.347900390625,-9.501953125,-2.62451171875,,28.28458023071289
1637761303273,,,,,79.5948715209961,
1637761303275,54.58290336470751,,,,,
1637761303317,,0.340576171875,-9.5068359375,-2.62939453125,,28.302387237548828
1637761303318,,,,,79.64454650878906,
1637761303363,54.58290336470751,,,,,
1637761303452,,0.33935546875,-9.501953125,-2.63671875,,28.266769409179688
1637761303453,,,,,79.63461303710938,
1637761303454,54.58290336470751,,,,,
1637761303587,,0.345458984375,-9.500732421875,-2.62451171875,,28.28458023071289
1637761303588,,,,,79.68429565429688,
1637761303589,55.670102654918374,,,,,
1637761303677,,0.340576171875,-9.500732421875,-2.61962890625,,
1637761303722,,,,,,28.302387237548828
1637761303723,54.58290336470751,,,,79.59156036376953,
1637761303767,,0.3466796875,-9.495849609375,-2.626953125,,28.28458023071289
1637761303768,,,,,79.69422912597656,
1637761303812,54.58290336470751,,,,,
1637761303902,,0.345458984375,-9.49951171875,-2.63671875,,28.302387237548828
1637761303903,,,,,79.66773223876953,
1637761303904,55.670102654918374,,,,,
1637761303994,,0.340576171875,-9.501953125,-2.628173828125,,
1637761303995,,,,,79.6412353515625,28.266769409179688
1637761303997,54.58290336470751,,,,,
1637761304127,,0.3369140625,-9.500732421875,-2.63427734375,,28.24896240234375
1637761304128,,,,,79.71409606933594,
1637761304129,54.58290336470751,,,,,
1637761304218,,0.32958984375,,,,
1637761304219,,,,,79.69422912597656,
1637761304221,54.58290336470751,,,,,
1637761304307,,0.341796875,-9.5166015625,-2.635498046875,,28.320194244384766
1637761304308,,,,,79.67436218261719,
1637761304309,54.58290336470751,,,,,
1637761304443,,0.335693359375,-9.515380859375,-2.640380859375,,
1637761304444,,,,,,28.302387237548828
1637761304445,,,,,79.76046752929688,
1637761304446,53.49794028725878,,,,,
1637761304532,,0.33935546875,-9.503173828125,-2.635498046875,,
1637761304533,,,,,79.72734069824219,28.28458023071289
1637761304534,53.49794028725878,,,,,
1637761304623,,0.338134765625,-9.495849609375,-2.626953125,,28.28458023071289
1637761304667,,,,,79.75384521484375,
1637761304668,54.58290336470751,,,,,
1637761304757,,0.341796875,,,,
1637761304758,,,-9.500732421875,-2.626953125,,
1637761304759,54.58290336470751,,,,79.77371215820312,28.302387237548828
1637761304847,,0.347900390625,-9.4970703125,-2.63427734375,,28.28458023071289
1637761304848,,,,,79.73397064208984,
1637761304849,54.58290336470751,,,,,
1637761304982,,0.340576171875,-9.503173828125,-2.633056640625,,28.266769409179688
1637761304983,,,,,79.76708984375,
1637761304984,53.49794028725878,,,,,
1637761305073,,0.33203125,-9.500732421875,-2.6220703125,,28.302387237548828
1637761305074,53.49794028725878,,,,79.68429565429688,
1637761305162,,0.343017578125,-9.498291015625,-2.62939453125,,
1637761305163,,,,,79.71409606933594,28.28458023071289
1637761305165,54.58290336470751,,,,,
