relative_time,bluetooth_le-F1:5F:C5:86:3E:30-Resistance-1,bluetooth_le-F1:5F:C5:86:3E:30-Humidity-0
12419,,120.12100219726562
12420,1137.7870371123897,
12510,1155.7894890576522,120.0614013671875
12599,,120.04814147949219
12600,1169.4914781646617,
12734,1178.7234203995706,120.04814147949219
12824,1188.0341287212777,120.0448226928711
12914,1197.4248951544064,120.1077651977539
13050,1202.1505872527102,120.0614013671875
13139,,120.09782409667969
13140,1206.8965368406953,
13230,1206.8965368406953,120.07133483886719
13364,,120.1143798828125
13365,1206.8965368406953,
13454,,120.10444641113281
13455,1206.8965368406953,
13544,,120.14087677001953
13545,1202.1505872527102,
13634,,120.17401123046875
13679,1192.7194221445839,
13769,1183.3688073725812,120.18062591552734
13859,,120.19718170166016
13860,1169.4914781646617,
13949,1160.3375358170151,120.19056701660156
14085,,120.24354553222656
14086,1151.2605238075307,
14175,1142.2594045403562,120.10112762451172
14354,,120.07795715332031
14355,1137.7870371123897,
14399,1133.3333243264092,120.10112762451172
14489,1124.4812988774768,120.07133483886719
14579,1115.702521108099,120.08126831054688
14714,,120.09782409667969
14719,1111.340187337602,
14804,1106.9959102976018,120.12432098388672
14894,1106.9959102976018,120.1143798828125
15029,,120.10112762451172
15030,1102.669375906501,
15119,,120.12763977050781
15120,1102.669375906501,
15209,,120.18724060058594
15210,1102.669375906501,
15344,,120.18724060058594
15345,1111.340187337602,
15435,,120.19387817382812
15437,1120.0827850492872,
15524,,120.24354553222656
15526,1124.4812988774768,
15659,,120.2932357788086
15660,1133.3333243264092,
15749,,120.32634735107422
15750,1137.7870371123897,
15839,1146.7504530347587,120.3363037109375
15930,1146.7504530347587,120.29655456542969
16065,1151.2605238075307,120.36277770996094
16154,,120.3363037109375
16155,1155.7894890576522,
16244,1160.3375358170151,120.47538757324219
16379,,120.48202514648438
16381,1164.9048549459735,
16469,,120.47870635986328
16470,1164.9048549459735,
16559,,120.5582046508789
16605,1169.4914781646617,
16695,,120.57807922363281
16697,1169.4914781646617,
16784,,120.57144165039062
16785,1174.0976003565147,
16874,,120.61119079589844
16875,1174.0976003565147,
17009,,120.60787200927734
17010,1174.0976003565147,
17100,1174.0976003565147,120.72711944580078
17234,,120.67742919921875
17235,1178.7234203995706,
17324,,120.71717834472656
17325,1178.7234203995706,
17414,1178.7234203995706,120.78010559082031
17504,,120.85296630859375
17505,1178.7234203995706,
17639,1183.3688073725812,120.86952209472656
17730,1183.3688073725812,120.87615966796875
17819,,120.9688949584961
17820,1183.3688073725812,
17909,,120.9854507446289
17910,1183.3688073725812,
18044,,121.0086441040039
18045,1183.3688073725812,
18134,,121.04507446289062
18135,1183.3688073725812,
18224,,121.13449096679688
18225,1178.7234203995706,
18359,,121.11461639404297
18360,1178.7234203995706,
18450,,121.164306640625
18451,1178.7234203995706,
18539,,121.23054504394531
18540,1174.0976003565147,
18674,1174.0976003565147,121.26036071777344
18764,,121.29016876220703
18766,1174.0976003565147,
18854,,121.35308837890625
18855,1169.4914781646617,
18989,,121.29016876220703
18990,1164.9048549459735,
19079,,121.40277862548828
19080,1164.9048549459735,
19171,1164.9048549459735,121.44912719726562
19307,,121.47232055664062
19309,1164.9048549459735,
19394,,121.47895812988281
19395,1160.3375358170151,
19484,,121.6213607788086
19485,1160.3375358170151,
19619,,121.55181884765625
19620,1155.7894890576522,
19709,,121.58161163330078
19710,1155.7894890576522,
19799,,121.71741485595703
19801,1155.7894890576522,
19889,1151.2605238075307,121.69422149658203
20026,1146.7504530347587,121.71080017089844
20114,,121.73065185546875
20117,1146.7504530347587,
20205,1146.7504530347587,121.74391174316406
20340,1142.2594045403562,121.85321807861328
20429,,121.8465805053711
20430,1142.2594045403562,
20519,,121.93601989746094
20520,1142.2594045403562,
20654,1142.2594045403562,121.95919036865234
20744,,122.05856323242188
20745,1137.7870371123897,
20835,1137.7870371123897,121.99230194091797
20971,,121.98899841308594
20972,1133.3333243264092,
21060,,122.07843780517578
21066,1133.3333243264092,
21149,,122.09829711914062
21150,1128.8980866510478,
21284,1124.4812988774768,122.14797973632812
21374,,122.13471984863281
21375,1120.0827850492872,
21464,,122.14466094970703
21465,1120.0827850492872,
21599,,122.21421813964844
21600,1120.0827850492872,
21689,1115.702521108099,122.21421813964844
21779,,122.2970199584961
21780,1111.340187337602,
21914,,122.39307403564453
21915,1111.340187337602,
22005,1106.9959102976018,122.40301513671875
22095,,122.44937896728516
22096,1106.9959102976018,
22230,1102.669375906501,122.47918701171875
22319,,122.57522583007812
22320,1094.0694595065177,
22409,,122.5189208984375
22410,1094.0694595065177,
22500,1089.79589503589,122.58848571777344
22636,,122.58848571777344
22637,1085.539712759162,
22724,1077.0791494362115,122.61497497558594
22815,,122.68453979492188
22867,1072.874460787925,
22949,,122.68121337890625
22950,1064.5160635353789,
23039,1060.3621908417538,122.75407409667969
23175,1052.104231540471,122.7474594116211
23264,,122.80708312988281
23265,1043.9121917941357,
23354,,122.86338806152344
23355,1035.7853457121373,
23444,,122.95280456542969
23446,1027.7227349164932,
23579,,122.86668395996094
23580,1015.7480391235656,
23669,,122.91305541992188
23670,996.1013793365505,
23759,,122.98262023925781
23760,976.83389950193,
23849,,123.06209564208984
23850,950.4761667359719,
23984,,123.07203674316406
23985,917.6030724567294,
24074,,123.05548095703125
24075,875.4579175087867,
24164,,123.17140197753906
24165,831.8425444524546,
24299,,123.15483093261719
24300,793.3450100815985,
24389,,123.15153503417969
24390,750.4272956821711,
24479,,123.17802429199219
24480,712.3745643306245,
24614,,123.23101043701172
24615,670.4730920636382,
24704,,123.25420379638672
24705,630.5732493652253,
24794,,123.33038330078125
24795,587.5968609976039,
24930,,123.22439575195312
24931,539.8496381892382,
25019,,123.14159393310547
25020,492.711360672877,
25109,,123.05548095703125
25110,446.3276673833569,
25245,,122.91305541992188
25246,402.7397376024876,
25334,,122.80044555664062
25335,363.5153109542348,
25425,326.4248454653038,122.66796112060547
25559,,122.48249053955078
25560,294.5638439466953,
25649,,122.41957092285156
25650,265.7601990281764,
25739,242.71845334391327,122.19766235351562
25875,220.50058943095416,122.07843780517578
25965,197.6608156268344,121.91282653808594
26055,178.36594108941287,121.70747375488281
26190,160.99773590792304,121.4656982421875
26279,,121.38290405273438
26280,144.13407882662332,
26369,,121.15436553955078
26370,127.75330450147598,
26459,,121.00532531738281
26460,120.35011367871293,
26596,,120.93578338623047
26597,131.49170508617192,
26684,,120.97550964355469
26685,153.1531524952332,
26774,,121.05169677734375
26819,183.8150364001019,
26910,,121.18086242675781
26911,219.04761407380755,
26999,,121.22061157226562
27000,259.5325831483612,
27089,,121.36634826660156
27090,304.45860889776407,
27225,,121.43257141113281
27226,354.4973656770844,
27314,,121.58493041992188
27315,412.41379785027436,
27405,475.50434498298785,121.74060821533203
27540,544.4947444617188,121.76046752929688
27630,625.396846224362,121.94263458251953
27719,715.2429322016238,122.02874755859375
27854,,122.15129852294922
27856,815.6029044559532,
27944,,122.24071502685547
27945,928.4369544251069,
28034,,122.23739624023438
28035,1060.3621908417538,
28169,,122.44937896728516
28170,1197.4248951544064,
28260,,122.44606018066406
28261,1285.7142638187022,
28349,,122.44606018066406
28350,1343.2495154932474,
28484,,122.48249053955078
28530,1386.946354958131,
28574,,122.5421142578125
28575,1420.803885010623,
28665,1449.7606547438197,122.53218078613281
28755,,122.61829376220703
28756,1473.4299482966853,
28889,,122.55867004394531
28890,1491.4841503068094,
28979,,122.61497497558594
28980,1503.6675680011615,
29069,,122.65804290771484
29114,1515.970571917542,
29204,,122.71434783935547
29205,1534.6535251206292,
29294,,122.81037902832031
29295,1547.2637476630412,
29384,,122.86006927490234
29385,1553.6159605616097,
29519,,122.90312194824219
29520,1559.999947929384,
29609,,122.88987731933594
29610,1566.4161416559002,
29699,,123.05879211425781
29700,1572.8643932160983,
29834,,123.02566528320312
29835,1572.8643932160983,
29924,,123.11840057373047
29925,1579.345138904709,
30014,,123.1747055053711
30015,1572.8643932160983,
30150,,123.194580078125
30151,1572.8643932160983,
30239,,123.25088500976562
30240,1572.8643932160983,
30329,,123.22770690917969
30330,1566.4161416559002,
30419,,123.36017608642578
30420,1559.999947929384,
30555,1553.6159605616097,123.34693908691406
30647,1553.6159605616097,123.38005065917969
30734,,123.4628677368164
30735,1547.2637476630412,
30870,,123.41317749023438
30871,1534.6535251206292,
30959,,123.4462890625
30960,1515.970571917542,
31050,1503.6675680011615,123.42643737792969
31184,,123.48936462402344
31185,1485.4368502238176,
31274,,123.43305969238281
31276,1461.5384347340064,
31364,,123.52909088134766
31365,1449.7606547438197,
31499,,123.49597930908203
31500,1426.540366567773,
31589,,123.49597930908203
31590,1403.755896041906,
31679,,123.50923156738281
31681,1381.3954277281036,
31814,1359.4470426958273,123.60527038574219
31904,,123.56222534179688
31905,1332.5740054751034,
31994,,123.66157531738281
31995,1306.3063175296468,
32084,,123.53240966796875
32085,1280.6235457969112,
32220,1250.5494236828067,123.61520385742188
32309,,123.62846374511719
32310,1221.258075435027,
32401,,123.60197448730469
32444,1183.3688073725812,
32534,,123.60197448730469
32535,1142.2594045403562,
32625,1120.0827850492872,123.51585388183594
32715,1106.9959102976018,123.60858917236328
32849,,123.59203338623047
32850,1102.669375906501,
32939,,123.61520385742188
32940,1102.669375906501,
33074,,123.6880874633789
33075,1102.669375906501,
33164,,123.77088928222656
33165,1106.9959102976018,
33255,1115.702521108099,123.83712768554688
33344,,123.86361694335938
33345,1128.8980866510478,
33479,,123.8901138305664
33480,1146.7504530347587,
33570,,123.96297454833984
33571,1160.3375358170151,
33659,,124.05241394042969
33660,1183.3688073725812,
33794,,124.03915405273438
33795,1206.8965368406953,
33887,,124.00933837890625
33888,1230.9368294022904,
33975,1265.4867577043067,124.20144653320312
34064,,124.23455810546875
